OPERADOR;SERVICIO;INDICATIVO;BLOQUE;MODALIDAD;LOCALIDAD
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2983;450;MPP;TRES ARROYOS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2963;43;BASICA;PERITO MORENO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2651;491;BASICA;CANDELARIA (PROV.  SAN LUIS)
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;223;4591;MPP;MAR DEL PLATA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3472;459;MPP;MARCOS JUAREZ
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2622;460;MPP;TUNUYAN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3472;497;MPP;MARCOS JUAREZ
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2901;460;MPP;USHUAIA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2948;4964;BASICA;CANCHA DE HUINGANCO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;260;4497;BASICA;CAÑADA SECA (PROV.  MENDOZA)
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2392;450;MPP;TRENQUE LAUQUEN
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;280;4460;MPP;TRELEW
TELECOM ARGENTINA SOCIEDAD ANONIMA;SRCE;261;4551;MPP;MENDOZA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;263;4482;BASICA;CAMPAMENTOS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2983;42;BASICA;TRES ARROYOS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3773;497;MPP;MERCEDES (PROV.  CORRIENTES)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2962;495;BASICA;TRES LAGOS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2651;492;BASICA;CANDELARIA (PROV.  SAN LUIS)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2934;4907;BASICA;TRENETA 
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;263;4496;BASICA;TRES PORTEÑAS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2323;492;BASICA;CAPILLA DEL SEÑOR
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2226;496;BASICA;CAÑUELAS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2226;42;BASICA;CAÑUELAS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2302;499;BASICA;TRENEL
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2302;479;BASICA;TRENEL
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;264;4976;BASICA;CAÑADA HONDA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;459;MPP;VIEDMA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2648;491;BASICA;CALINGASTA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2323;496;BASICA;OPEN DOOR
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2392;496;BASICA;TRENQUE LAUQUEN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3734;496;MPP;MACHAGAI
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2392;43;BASICA;TRENQUE LAUQUEN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2392;42;BASICA;TRENQUE LAUQUEN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2983;43;BASICA;TRES ARROYOS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2226;43;BASICA;CAÑUELAS
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2920;450;MPP;VIEDMA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2281;48;BASICA;CACHARI
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;221;4926;BASICA;OLIDEN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3435;493;MPP;NOGOYA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3755;459;MPP;OBERA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2284;457;BASICA;OLAVARRIA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2284;452;BASICA;OLAVARRIA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3532;460;MPP;OLIVA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;297;4916;BASICA;CAMARONES
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3878;447;MPP;ORAN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2323;483;BASICA;OLIVERA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;343;481;MPP;PARANA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;343;4847;MPP;PARANA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;291;4918;BASICA;CABILDO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3772;495;MPP;PASO DE LOS LIBRES
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2948;483;BASICA;BUTA RANQUIL
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2394;492;BASICA;TRES LOMAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3404;440;MPP;GALVEZ
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3878;440;MPP;ORAN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3891;495;MPP;MONTEAGUDO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;4440;BASICA;TRELEW
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;249;4460;MPP;TANDIL
