Year,Quarter,Province,Access per 100 households,Access per 100 households [Proyected 2%],Access per 100 households [Previous Quarter],Incremental Percentage
2014,1,Córdoba,52.52,53.57,54.57,-3.76
2014,1,Corrientes,22.32,22.77,24.25,-7.96
2014,1,Entre Ríos,34.37,35.06,20.72,65.88
2014,1,Formosa,17.42,17.77,41.24,-57.76
2014,1,Jujuy,18.42,18.79,52.52,-64.93
2014,1,La Pampa,48.43,49.4,22.32,116.98
2014,1,La Rioja,16.29,16.62,34.37,-52.6
2014,1,Mendoza,31.91,32.55,17.42,83.18
2014,1,Misiones,23.14,23.6,18.42,25.62
2014,1,Neuquén,49.79,50.79,48.43,2.81
2014,1,Río Negro,44.91,45.81,16.29,175.69
2014,1,Salta,28.7,29.27,31.91,-10.06
2014,1,San Juan,27.6,28.15,23.14,19.27
2014,1,San Luis,9.35,9.54,49.79,-81.22
2014,1,Santa Cruz,28.94,29.52,44.91,-35.56
2014,1,Santa Fe,47.85,48.81,28.7,66.72
2014,1,Santiago Del Estero,16.31,16.64,27.6,-40.91
2014,1,Tierra Del Fuego,63.97,65.25,9.35,584.17
2014,1,Tucumán,33.42,34.09,28.94,15.48
2014,2,Buenos Aires,55.06,56.16,54.57,0.9
2014,2,Catamarca,24.7,25.19,24.25,1.86
2014,2,Chaco,20.96,21.38,20.72,1.16
2014,2,Chubut,41.41,42.24,41.24,0.41
2014,2,Córdoba,53.45,54.52,52.52,1.77
2014,2,Corrientes,22.58,23.03,22.32,1.16
2014,2,Entre Ríos,34.69,35.38,34.37,0.93
2014,2,Formosa,17.54,17.89,17.42,0.69
2014,2,Jujuy,18.71,19.08,18.42,1.57
2014,2,La Pampa,49.71,50.7,48.43,2.64
2014,2,La Rioja,16.5,16.83,16.29,1.29
2014,2,Mendoza,32.1,32.74,31.91,0.6
2014,2,Misiones,23.37,23.84,23.14,0.99
2014,2,Neuquén,50.84,51.86,49.79,2.11
2014,2,Río Negro,45.33,46.24,44.91,0.94
2014,2,Salta,28.91,29.49,28.7,0.73
2014,2,San Juan,27.78,28.34,27.6,0.65
2014,2,San Luis,9.72,9.91,9.35,3.96
2014,2,Santa Cruz,29.38,29.97,28.94,1.52
2014,2,Santa Fe,48.39,49.36,47.85,1.13
2014,2,Santiago Del Estero,16.7,17.03,16.31,2.39
2014,2,Tierra Del Fuego,64.36,65.65,63.97,0.61
2014,2,Tucumán,33.94,34.62,33.42,1.56
2014,3,Buenos Aires,56.75,57.88,55.06,3.07
2014,3,Catamarca,24.71,25.2,24.7,0.04
2014,3,Chaco,21.11,21.53,20.96,0.72
2014,3,Chubut,40.6,41.41,41.41,-1.96
2014,3,Córdoba,54.23,55.31,53.45,1.46
2014,3,Corrientes,22.79,23.25,22.58,0.93
2014,3,Entre Ríos,34.98,35.68,34.69,0.84
2014,3,Formosa,17.77,18.13,17.54,1.31
2014,3,Jujuy,18.37,18.74,18.71,-1.82
2014,3,La Pampa,55.78,56.9,49.71,12.21
2014,3,La Rioja,16.51,16.84,16.5,0.06
2014,3,Mendoza,32.31,32.96,32.1,0.65
2014,3,Misiones,23.57,24.04,23.37,0.86
2014,3,Neuquén,56.4,57.53,50.84,10.94
2014,3,Río Negro,46.2,47.12,45.33,1.92
2014,3,Salta,29.22,29.8,28.91,1.07
2014,3,San Juan,27.85,28.41,27.78,0.25
2014,3,San Luis,9.71,9.9,9.72,-0.1
2014,3,Santa Cruz,28.23,28.79,29.38,-3.91
2014,3,Santa Fe,49.2,50.18,48.39,1.67
2014,3,Santiago Del Estero,16.49,16.82,16.7,-1.26
2014,3,Tierra Del Fuego,65.69,67.0,64.36,2.07
2014,3,Tucumán,33.94,34.62,33.94,0.0
2014,4,Buenos Aires,56.09,57.21,56.75,-1.16
2014,4,Catamarca,25.51,26.02,24.71,3.24
2014,4,Chaco,21.87,22.31,21.11,3.6
2014,4,Chubut,40.25,41.06,40.6,-0.86
2014,4,Córdoba,54.7,55.79,54.23,0.87
2014,4,Corrientes,23.56,24.03,22.79,3.38
2014,4,Entre Ríos,36.03,36.75,34.98,3.0
2014,4,Formosa,17.96,18.32,17.77,1.07
2014,4,Jujuy,19.6,19.99,18.37,6.7
2014,4,La Pampa,51.27,52.3,55.78,-8.09
2014,4,La Rioja,17.01,17.35,16.51,3.03
2014,4,Mendoza,32.64,33.29,32.31,1.02
2014,4,Misiones,24.16,24.64,23.57,2.5
2014,4,Neuquén,52.55,53.6,56.4,-6.83
2014,4,Río Negro,45.48,46.39,46.2,-1.56
2014,4,Salta,29.53,30.12,29.22,1.06
2014,4,San Juan,28.04,28.6,27.85,0.68
2014,4,San Luis,9.79,9.99,9.71,0.82
2014,4,Santa Cruz,27.8,28.36,28.23,-1.52
2014,4,Santa Fe,50.0,51.0,49.2,1.63
